target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.420100100,41.420543200,41.420546800,41.421091500,443.100,3.600,0.544700,1,10,same_process,12560
6568,5992,41.421091500,41.422082500,41.422085800,41.422481800,991.000,3.300,0.396000,1,10,same_process,12560
6568,5992,41.422481800,41.422483300,41.422487100,41.422501400,1.500,3.800,0.014300,1,10,same_process,12564
6568,5992,41.422501400,41.422776700,41.422780900,41.423220700,275.300,4.200,0.439800,1,12,same_process,12564
6568,5992,41.423220700,41.424767000,41.424770700,41.424784700,"1,546.300",3.700,0.014000,1,12,same_process,12560
6568,5992,41.424784700,41.424988600,41.424992400,41.425103700,203.900,3.800,0.111300,1,12,same_process,12564
6568,5992,41.425103700,41.425106400,41.425109600,41.425125000,2.700,3.200,0.015400,1,12,same_process,12564
6568,5992,41.425125000,41.425137500,41.425140800,41.425320900,12.500,3.300,0.180100,1,10,same_process,12564
6568,5992,41.425320900,41.425812700,41.425816700,41.425830600,491.800,4.000,0.013900,1,10,idle,0
6568,5992,41.425830600,41.427863600,41.427868000,41.427971400,"2,033.000",4.400,0.103400,1,10,same_process,4612
6568,5992,41.427971400,41.428395800,41.428400400,41.428636000,424.400,4.600,0.235600,1,10,idle,0
6568,5992,41.428636000,41.437333200,41.437337800,41.437350600,"8,697.200",4.600,0.012800,1,9,same_process,12564
6568,5992,41.437350600,41.437611500,41.437615800,41.437626300,260.900,4.300,0.010500,1,9,same_process,12564
6568,5992,41.437626300,41.438050400,41.438054400,41.438064700,424.100,4.000,0.010300,1,9,same_process,12564
6568,5992,41.438064700,41.438370800,41.438374600,41.438384800,306.100,3.800,0.010200,1,9,same_process,12564
6568,5992,41.438384800,41.438798500,41.438802200,41.438812400,413.700,3.700,0.010200,1,9,same_process,12564
6568,5992,41.438812400,41.439122900,41.439126800,41.439136900,310.500,3.900,0.010100,1,9,same_process,12564
6568,5992,41.439136900,41.439635600,41.439640200,41.439651500,498.700,4.600,0.011300,1,12,same_process,12564
6568,5992,41.439651500,41.439788100,41.439792500,41.442311200,136.600,4.400,2.518700,1,14,same_process,12564
6568,5992,41.442311200,41.442548700,41.442553200,41.442974600,237.500,4.500,0.421400,1,9,same_process,12564
6568,5992,41.442974600,41.443064200,41.443068500,41.443370600,89.600,4.300,0.302100,1,9,same_process,12564
6568,5992,41.443370600,41.443489400,41.443493300,41.443738200,118.800,3.900,0.244900,1,9,same_process,12564
6568,5992,41.443738200,41.443902100,41.443905600,41.444134000,163.900,3.500,0.228400,1,9,same_process,12564
6568,5992,41.444134000,41.444486800,41.444490800,41.444854800,352.800,4.000,0.364000,1,9,same_process,12564
6568,5992,41.444854800,41.445397800,41.445402600,41.446689300,543.000,4.800,1.286700,1,4,idle,0
6568,5992,41.446689300,41.446856500,41.446860400,41.447043700,167.200,3.900,0.183300,1,4,same_process,12564
6568,5992,41.447043700,41.447242800,41.447247000,41.447469800,199.100,4.200,0.222800,1,9,same_process,12564
6568,5992,41.447469800,41.447918800,41.447922100,41.448205700,449.000,3.300,0.283600,1,9,same_process,12564
6568,5992,41.448205700,41.448457000,41.448460600,41.448770100,251.300,3.600,0.309500,1,9,same_process,12564
6568,5992,41.448770100,41.449857100,41.449861200,41.450153700,"1,087.000",4.100,0.292500,1,9,same_process,12564
6568,5992,41.450153700,41.450174700,41.450178900,41.450201100,21.000,4.200,0.022200,1,12,same_process,12564
6568,5992,41.450201100,41.450261100,41.450265200,41.450339800,60.000,4.100,0.074600,1,12,same_process,12564
6568,5992,41.450339800,41.450577200,41.450580900,41.450892100,237.400,3.700,0.311200,1,9,same_process,12564
6568,5992,41.450892100,41.458917700,41.458922300,41.459325200,"8,025.600",4.600,0.402900,1,9,idle,0
6568,5992,41.459325200,41.459734300,41.459739100,41.460699000,409.100,4.800,0.959900,1,9,idle,0
6568,5992,41.460699000,41.461687800,41.461692500,41.462145500,988.800,4.700,0.453000,1,9,same_process,12560
6568,5992,41.462145500,41.462167700,41.462172000,41.462182200,22.200,4.300,0.010200,1,9,same_process,12564
6568,5992,41.462182200,41.462184700,41.462187400,41.462196400,2.500,2.700,0.009000,1,9,same_process,12564
6568,5992,41.462196400,41.462689500,41.462693600,41.463293000,493.100,4.100,0.599400,1,12,same_process,12564
6568,5992,41.463293000,41.463433700,41.463437400,41.463506300,140.700,3.700,0.068900,1,12,same_process,4612
6568,5992,41.463506300,41.464479300,41.464483100,41.464506800,973.000,3.800,0.023700,1,12,same_process,12560
6568,5992,41.464506800,41.464719500,41.464724000,41.464846700,212.700,4.500,0.122700,1,9,same_process,12564
6568,5992,41.464846700,41.464848800,41.464851800,41.464866400,2.100,3.000,0.014600,1,9,same_process,12564
6568,5992,41.464866400,41.464891700,41.464894800,41.465087600,25.300,3.100,0.192800,1,9,same_process,12564
6568,5992,41.465087600,41.465581100,41.465584600,41.465600100,493.500,3.500,0.015500,1,9,same_process,12560
6568,5992,41.465600100,41.473118300,41.473122200,41.473134200,"7,518.200",3.900,0.012000,1,10,same_process,12564
6568,5992,41.473134200,41.477515200,41.477519900,41.477760000,"4,381.000",4.700,0.240100,1,9,same_process,12564
6568,5992,41.477760000,41.477858100,41.477861800,41.478221900,98.100,3.700,0.360100,1,9,same_process,12564
6568,5992,41.478221900,41.478722800,41.478726800,41.479680700,500.900,4.000,0.953900,1,9,same_process,12560
6568,5992,41.479680700,41.479872500,41.479876400,41.480294800,191.800,3.900,0.418400,1,9,same_process,12564
6568,5992,41.480294800,41.480448100,41.480456300,41.480697000,153.300,8.200,0.240700,1,9,same_process,12564
6568,5992,41.480697000,41.480750300,41.480753800,41.480896500,53.300,3.500,0.142700,1,9,same_process,12564
6568,5992,41.480896500,41.481245800,41.481249300,41.481499000,349.300,3.500,0.249700,1,9,same_process,12564
